ClientSK;Nom;Prenom;NomSegment;GouvernoratNom
40001;Khouja;Adem;Premium;Mahdia
40002;Zouari;Hassan;Premium;Tunis
40003;Ben Ali;Adem;Pro;Médenine
40004;Saidi;Khadija;Particulier;Bizerte
40005;Zouari;Salma;Pro;Tozeur
40006;Ben Ali;Halima;Particulier;Manouba
40007;Saidi;Khadija;Particulier;Nabeul
40008;Kacem;Emna;Premium;Nabeul
40009;Nouira;Ahmed;VIP;Mahdia
40010;Khelil;Maher;Particulier;Médenine
40011;Mhamdi;Lina;Particulier;Manouba
40012;Saidi;Hassan;Particulier;Nabeul
40013;Mahdi;Salma;Pro;Zaghouan
40014;Bdira;Leila;Pro;Ariana
40015;Khelil;Yosri;VIP;Tunis
40016;Kacem;Sarra;Particulier;Nabeul
40017;Ben Ali;Adem;Particulier;Sousse
40018;Ben Ali;Mondher;Particulier;Nabeul
40019;Bdira;Emna;Particulier;Tataouine
40020;Bdira;Samia;Pro;Mahdia
40021;Bdira;Nermine;Pro;Ben Arous
40022;Nouira;Karim;Particulier;Ben Arous
40023;Zouari;Mohammed;Pro;Sfax
40024;Saidi;Anis;Premium;Médenine
40025;Kacem;Karim;Particulier;Jendouba
40026;Zouari;Fatima;Premium;Le Kef
40027;Ben Ali;Rania;Particulier;Kairouan
40028;Bdira;Hassan;Pro;Tunis
40029;Khouja;Yosri;Premium;Mahdia
40030;Khelil;Sarra;Particulier;Tataouine
40031;Khouja;Karim;Particulier;Tunis
40032;Mahdi;Khalil;Pro;Sousse
40033;Nouira;Halima;VIP;Nabeul
40034;Bdira;Yassine;Particulier;Tunis
40035;Khouja;Khaled;VIP;Gafsa
40036;Ben Ali;Sarra;Pro;Nabeul
40037;Khelil;Amira;Premium;Mahdia
40038;Khelil;Donia;Premium;Ariana
40039;Khouja;Anis;Premium;Médenine
40040;Nouira;Adem;Premium;Médenine
40041;Mahdi;Rania;Particulier;Tunis
40042;Khelil;Mohsen;Particulier;Nabeul
40043;Mhamdi;Sami;VIP;Tunis
40044;Saidi;Sami;Pro;Tataouine
40045;Saidi;Donia;Premium;Nabeul
40046;Saidi;Fatima;VIP;Tataouine
40047;Mahdi;Mohammed;Particulier;Jendouba
40048;Khouja;Amir;Particulier;Sidi Bouzid
40049;Mhamdi;Salma;Premium;Bizerte
40050;Khelil;Karim;Particulier;Manouba
40051;Bdira;Hassan;Particulier;Kebili
40052;Ben Ali;Nadia;Premium;Ariana
40053;Kacem;Salma;Particulier;Gafsa
40054;Khouja;Lina;Particulier;Ariana
40055;Ben Ali;Karim;Pro;Tataouine
40056;Nouira;Karim;Particulier;Mahdia
40057;Mahdi;Ahmed;Premium;Nabeul
40058;Nouira;Maher;Particulier;Médenine
40059;Khelil;Sami;Particulier;Gafsa
40060;Zouari;Salma;Particulier;Tataouine
40061;Nouira;Fatima;Premium;Kairouan
40062;Khelil;Nadia;Premium;Manouba
40063;Khouja;Khalil;Particulier;Nabeul
40064;Khelil;Leila;Pro;Tunis
40065;Zouari;Maher;Pro;Sousse
40066;Mhamdi;Yassine;Particulier;Nabeul
40067;Ben Ali;Yosri;Particulier;Médenine
40068;Zouari;Samia;Premium;Tataouine
40069;Mhamdi;Salma;VIP;Le Kef
40070;Zouari;Maher;Pro;Gabès
40071;Khouja;Mondher;Premium;Tataouine
40072;Mhamdi;Emna;VIP;Tunis
40073;Kacem;Nadia;Pro;Sousse
40074;Kacem;Amir;Particulier;Sousse
40075;Mhamdi;Seif;Premium;Sfax
40076;Kacem;Mohsen;Particulier;Tunis
40077;Mahdi;Sonia;Particulier;Bizerte
40078;Mahdi;Rania;Premium;Nabeul
40079;Khouja;Fatima;Pro;Ariana
40080;Bdira;Yosri;Premium;Jendouba
40081;Kacem;Salma;VIP;Ben Arous
40082;Ben Ali;Nadia;Particulier;Nabeul
40083;Khelil;Khaled;Particulier;Ben Arous
40084;Mhamdi;Sarra;Pro;Bizerte
40085;Mhamdi;Khadija;Particulier;Ariana
40086;Mahdi;Nadia;Particulier;Tataouine
40087;Khelil;Fatima;VIP;Manouba
40088;Nouira;Seif;Particulier;Sousse
40089;Kacem;Sarra;Premium;Tataouine
